/nfsv3/poc/fio-platform-results/l32/l32v2-irq1-nconnect1-vm1-4Write-1files-iodpeth128-try1:  write: IOPS=26.3k, BW= 103 MiB/s (108MB/s)(6175 MiB/60006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq1-nconnect1-vm1-4Write-1files-iodpeth128-try2:  write: IOPS=26.3k, BW= 103 MiB/s (108MB/s)(6155 MiB/60006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq1-nconnect1-vm1-4Write-1files-iodpeth128-try3:  write: IOPS=26.3k, BW= 103 MiB/s (108MB/s)(6164 MiB/60006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect1-vm1-4Write-1files-iodpeth128-try2:  write: IOPS=26.3k, BW= 103 MiB/s (108MB/s)(6163 MiB/60007msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect1-vm1-4Write-1files-iodpeth128-try3:  write: IOPS=26.3k, BW= 103 MiB/s (108MB/s)(6170 MiB/60006msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect4-vm1-64Write-1files-iodpeth128-try1:  write: IOPS=15.2k, BW= 953 MiB/s (999MB/s)(27.9GiB/30008msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-64Write-1files-iodpeth96-try1:  write: IOPS=15.3k, BW= 955 MiB/s (1001MB/s)(27.0GiB/30009msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-64Write-1files-iodpeth128-try1:  write: IOPS=15.3k, BW= 956 MiB/s (1003MB/s)(28.0GiB/30011msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect2-vm1-64Write-1files-iodpeth96-try1:  write: IOPS=15.3k, BW= 958 MiB/s (1004MB/s)(28.1GiB/30011msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-64Write-1files-iodpeth96-try1:  write: IOPS=15.5k, BW= 968 MiB/s (1015MB/s)(28.4GiB/30006msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq1-nconnect4-vm1-128Write-1files-iodpeth96-try1:  write: IOPS=8375, BW= 1047 MiB/s (1098MB/s)(30.7GiB/30017msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect2-vm1-128Write-1files-iodpeth128-try1:  write: IOPS=8433, BW= 1055 MiB/s (1106MB/s)(30.9GiB/30017msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-128Write-1files-iodpeth128-try1:  write: IOPS=8458, BW= 1058 MiB/s (1109MB/s)(31.0GiB/30035msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect4-vm1-128Write-1files-iodpeth128-try1:  write: IOPS=8548, BW= 1069 MiB/s (1121MB/s)(31.4GiB/30030msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq1-nconnect4-vm1-128Write-1files-iodpeth128-try1:  write: IOPS=8727, BW= 1091 MiB/s (1145MB/s)(31.0GiB/30020msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect2-vm1-256Write-1files-iodpeth128-try1:  write: IOPS=4366, BW= 1093 MiB/s (1146MB/s)(32.0GiB/30034msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-256Write-1files-iodpeth128-try1:  write: IOPS=4379, BW= 1096 MiB/s (1149MB/s)(32.1GiB/30022msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-256Write-1files-iodpeth128-try1:  write: IOPS=4388, BW= 1098 MiB/s (1152MB/s)(32.2GiB/30021msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect4-vm1-256Write-1files-iodpeth128-try1:  write: IOPS=4425, BW= 1107 MiB/s (1161MB/s)(32.5GiB/30030msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq1-nconnect4-vm1-256Write-1files-iodpeth128-try1:  write: IOPS=4517, BW= 1130 MiB/s (1185MB/s)(33.1GiB/30027msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq1-nconnect2-vm1-512Write-1files-iodpeth128-try1:  write: IOPS=2387, BW= 1196 MiB/s (1254MB/s)(35.1GiB/30059msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-512Write-1files-iodpeth128-try1:  write: IOPS=2398, BW= 1201 MiB/s (1260MB/s)(35.3GiB/30066msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect2-vm1-512Write-1files-iodpeth128-try1:  write: IOPS=2408, BW= 1207 MiB/s (1265MB/s)(35.5GiB/30154msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-512Write-1files-iodpeth128-try1:  write: IOPS=2431, BW= 1218 MiB/s (1277MB/s)(35.8GiB/30088msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect4-vm1-512Write-1files-iodpeth128-try1:  write: IOPS=2529, BW= 1267 MiB/s (1328MB/s)(37.2GiB/30053msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-4Read-1files-iodpeth48-try1:   read: IOPS=59.8k, BW= 234 MiB/s (245MB/s)(7008 MiB/30001msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-4Read-1files-iodpeth96-try1:   read: IOPS=79.6k, BW= 311 MiB/s (326MB/s)(9331 MiB/30001msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-4Read-1files-iodpeth128-try1:   read: IOPS=82.7k, BW= 323 MiB/s (339MB/s)(9694 MiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-4Read-1files-iodpeth96-try1:   read: IOPS=91.8k, BW= 358 MiB/s (376MB/s)(10.5GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-4Read-1files-iodpeth128-try1:   read: IOPS=98.5k, BW= 385 MiB/s (404MB/s)(11.3GiB/30001msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect4-vm1-64Read-1files-iodpeth48-try1:   read: IOPS=22.2k, BW= 1389 MiB/s (1457MB/s)(40.7GiB/30005msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect4-vm1-64Read-1files-iodpeth128-try1:   read: IOPS=22.7k, BW= 1416 MiB/s (1485MB/s)(41.5GiB/30018msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-64Read-1files-iodpeth48-try1:   read: IOPS=26.3k, BW= 1644 MiB/s (1724MB/s)(48.2GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-64Read-1files-iodpeth96-try1:   read: IOPS=29.1k, BW= 1822 MiB/s (1911MB/s)(53.4GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-64Read-1files-iodpeth128-try1:   read: IOPS=30.1k, BW= 1880 MiB/s (1971MB/s)(55.1GiB/30004msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-128Read-1files-iodpeth16-try1:   read: IOPS=13.9k, BW= 1736 MiB/s (1820MB/s)(50.9GiB/30007msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-128Read-1files-iodpeth24-try1:   read: IOPS=15.5k, BW= 1939 MiB/s (2033MB/s)(56.8GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-128Read-1files-iodpeth48-try1:   read: IOPS=16.6k, BW= 2074 MiB/s (2175MB/s)(60.8GiB/30010msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-128Read-1files-iodpeth128-try1:   read: IOPS=16.7k, BW= 2085 MiB/s (2187MB/s)(61.1GiB/30019msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-128Read-1files-iodpeth96-try1:   read: IOPS=17.3k, BW= 2167 MiB/s (2273MB/s)(63.5GiB/30012msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-256Read-1files-iodpeth16-try1:   read: IOPS=7664, BW= 1916 MiB/s (2009MB/s)(56.2GiB/30004msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-256Read-1files-iodpeth24-try1:   read: IOPS=8887, BW= 2222 MiB/s (2330MB/s)(65.1GiB/30007msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-256Read-1files-iodpeth128-try1:   read: IOPS=8896, BW= 2225 MiB/s (2333MB/s)(65.3GiB/30036msec)
