/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect16-vm1-128Read-1files-iodpeth4-jobcount16-try1:   read: IOPS=22.9k, BW= 2865 MiB/s (3004MB/s)(84.0GiB/30028msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-128Read-1files-iodpeth8-jobcount16-try1:   read: IOPS=23.8k, BW= 2976 MiB/s (3121MB/s)(88.7GiB/30521msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-128Read-1files-iodpeth4-jobcount16-try1:   read: IOPS=24.0k, BW= 3125 MiB/s (3276MB/s)(91.7GiB/30039msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-128Read-1files-iodpeth2-jobcount16-try1:   read: IOPS=25.8k, BW= 3222 MiB/s (3379MB/s)(94.4GiB/30007msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-256Read-1files-iodpeth2-jobcount16-try1:   read: IOPS=11.2k, BW= 2806 MiB/s (2942MB/s)(82.2GiB/30006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-256Read-1files-iodpeth8-jobcount16-try1:   read: IOPS=11.2k, BW= 2807 MiB/s (2943MB/s)(82.3GiB/30028msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-256Read-1files-iodpeth1-jobcount16-try1:   read: IOPS=11.2k, BW= 2809 MiB/s (2946MB/s)(82.3GiB/30003msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-256Read-1files-iodpeth4-jobcount16-try1:   read: IOPS=11.4k, BW= 2855 MiB/s (2994MB/s)(83.7GiB/30016msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect16-vm1-256Read-1files-iodpeth2-jobcount16-try1:   read: IOPS=12.1k, BW= 3033 MiB/s (3181MB/s)(88.9GiB/30007msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-512Read-1files-iodpeth48-try1:   read: IOPS=4650, BW= 2326 MiB/s (2439MB/s)(68.2GiB/30017msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-1files-iodpeth2-jobcount16-try1:   read: IOPS=5383, BW= 2692 MiB/s (2823MB/s)(78.9GiB/30011msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-1files-iodpeth1-jobcount16-try1:   read: IOPS=5421, BW= 2711 MiB/s (2842MB/s)(79.4GiB/30009msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-1files-iodpeth8-jobcount16-try1:   read: IOPS=5567, BW= 2785 MiB/s (2921MB/s)(81.7GiB/30037msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect12-vm1-512Read-1files-iodpeth4-jobcount16-try1:   read: IOPS=5705, BW= 2854 MiB/s (2992MB/s)(83.7GiB/30021msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-4Write-16files-iodpeth128-try1:  write: IOPS=75.3k, BW= 294 MiB/s (308MB/s)(8820 MiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect8-vm1-4Write-16files-iodpeth96-try1:  write: IOPS=85.5k, BW= 334 MiB/s (350MB/s)(9.78GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-4Write-16files-iodpeth96-try1:  write: IOPS=87.7k, BW= 342 MiB/s (359MB/s)(10.0GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect8-vm1-4Write-16files-iodpeth128-try1:  write: IOPS=90.4k, BW= 353 MiB/s (370MB/s)(10.3GiB/30002msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-4Write-16files-iodpeth128-try1:  write: IOPS=92.2k, BW= 360 MiB/s (378MB/s)(10.6GiB/30004msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect2-vm1-64Write-16files-iodpeth128-try1:  write: IOPS=22.6k, BW= 1415 MiB/s (1483MB/s)(41.5GiB/30006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect2-vm1-64Write-16files-iodpeth96-try1:  write: IOPS=22.6k, BW= 1415 MiB/s (1483MB/s)(41.4GiB/30005msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect4-vm1-64Write-16files-iodpeth128-try1:  write: IOPS=22.6k, BW= 1415 MiB/s (1484MB/s)(41.5GiB/30006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-64Write-16files-iodpeth128-try1:  write: IOPS=22.6k, BW= 1415 MiB/s (1484MB/s)(41.5GiB/30011msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect8-vm1-64Write-16files-iodpeth128-try1:  write: IOPS=22.6k, BW= 1415 MiB/s (1484MB/s)(41.5GiB/30009msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect16-vm1-128Write-16files-iodpeth128-try1:  write: IOPS=11.3k, BW= 1418 MiB/s (1487MB/s)(41.5GiB/30010msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect16-vm1-128Write-16files-iodpeth96-try1:  write: IOPS=11.3k, BW= 1418 MiB/s (1486MB/s)(41.5GiB/30008msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-128Write-16files-iodpeth128-try1:  write: IOPS=11.3k, BW= 1418 MiB/s (1486MB/s)(41.5GiB/30012msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-128Write-16files-iodpeth128-try1:  write: IOPS=11.3k, BW= 1418 MiB/s (1486MB/s)(41.5GiB/30011msec)
